spider;spiders spider
laughter;laughter
light;lit lights lighting lightest lighter lighted light
fat;fattest fatter fat fats
partner;partners partnering partner partnered
put;putted put puts putting
attacked;attacked
throne;throne thrones
analysis;analyses analysis
finish;finish finishes finished finishing
slut;sluts slut
mechanic;mechanics mechanic
mailed;mailed
beer;beer beers
stolen;stolen
foot;foots foot footed footing
five;fives five
mum;mums mum
grandma;grandmas grandma
fusarium;fusarium
riddle;riddling riddles riddled riddle
womb;wombs womb
bill;billed billing bill bills
returning;returning
bastard;bastard bastards
keyboard;keyboarding keyboard keyboards
poisoner;poisoner poisoners
reward;reward rewards rewarded rewarding
hot;hotted hotter hotting hot hottest
hormone;hormone hormones
thunder;thunder thundering thundered thunders
afghan;afghans afghan
trust;trusted trust trusting trusts
clean;cleans cleaning cleanest clean cleaner cleaned
fella;fellas fella
change;change changing changed changes
sound;sounder sounded sounding sound soundest sounds
asshole;asshole assholes
attacking;attacking
quiet;quieting quietest quieter quieted quiet
blooded;blooded
guitar;guitar guitars
follow;follows following followed follow
date;dates dated dating date
movie;movies movie
happen;happened happening happen happens
killer;killers killer
cobblestone;cobblestones cobblestone
flight;flight flighting flights flighted
masturbate;masturbate masturbating masturbates masturbated
trial;trialing trialled trialling trial trials
laughing;laughing
lied;lied
wine;wines wine wining wined
taking;takings taking
father;fathers fathered fathering father
submitted;submitted
cookie;cookie
match;matches matching matched match
developed;developed
tit;tit tits
cat;cats cat
take;takes take took taken taking
chained;chained
total;total totalled totalling totals
doll;doll dolls dolled dolling
aspirin;aspirin aspirins
rider;rider riders
serve;serve serving served serves
fitting;fittings fitting
crying;crying
mini;minis mini
tear;tore tear tearing torn tears
specific;specific specifics
table;tabled tables tabling table
instructor;instructor instructors
kid;kidded kids kidding kid
vip;vip vips
pretty;prettier pretties prettied pretty prettiest
realized;realized
write;written write wrote writing writes
protector;protector protectors
raped;raped
big;bigger biggest big
message;message messaging messages
favorite;favorites favorite
alaska;alaska
found;found
pay;paid payed pays pay paying
mathematician;mathematicians mathematician
motor;motors motored motor
novel;novels novel
blond;blonds blonder blond
hate;hating hate hated hates
babe;babes babe
download;downloading download downloaded downloads
makeup;makeup
allergic;allergic
uncle;uncles uncle
armor;armor
motorcycle;motorcycles motorcycle
simple;simpler simples simple simplest
license;licensing licenses licensed license
lawyer;lawyers lawyer
held;held
fake;faking fakes faked fake
noise;noises noise
fool;fooling fooled fools fool
skyscraper;skyscraper skyscrapers
bean;bean beans
agree;agreed agreeing agrees agree
land;lands landing land landed
officer;officers officer officered
talking;talking
download;downloading download downloaded downloads
nose;nosing nosed noses nose
coward;cowards coward
part;parts parted part parting
pig;pigging pigged pigs pig
bran;bran
massacre;massacre massacres
real;real realer
masquerade;masquerade masquerading masqueraded masquerades
doc;docs doc
phone;phone phoning phoned phones
pimp;pimp pimps pimping
smiling;smiling
make;maketh makeing makes made making make
pub;pubs pub
vocal;vocal vocals
corrected;corrected
smile;smiled smile smiles smiling
agreeing;agreeing
wondering;wonderings wondering
hold;held holding hold holds
care;cares caring care cared
weapon;weapon weapons
answering;answering
snow;snow snowed snowing snows
throw;throw thrown threw throws throwed throwing
safe;safe safes safer safest
loving;loving
forget;forgets forgot forget forgotten forgetting
revolutionize;revolutionizing revolutionize revolutionized
ballad;ballads ballad
offered;offered
gift;gift gifting gifts gifted
touched;touched
searcher;searcher searchers
civilization;civilizations civilization
crawl;crawl crawls crawling crawled
thief;thieves thief
ship;shipping shipped ship ships
spiritual;spiritual
late;later late latest
open;open opening opens opened
sport;sporting sports sport sported
sad;saddest sad sadder
shotgun;shotguns shotgun
tomorrow;tomorrow tomorrows
player;player players
back;backed back backing backs
ride;rode ride rides riding rided ridden
agree;agreed agreeing agrees agree
aluminum;aluminum
tail;tails tail tailed tailing
marine;marine marines
middle;middled middles middle
sandal;sandal sandals
full;fulling fulled full fuller fullest
college;colleges college
voice;voice voices voicing voiced
repo;repo repos
dry;drys driest dry dried drying drier dries
whore;whoring whored whores whore
walker;walker walkers
name;named naming names name
federal;federal
branded;branded
fetish;fetish fetishes
academic;academics academic
blink;blink blinking blinked blinks
option;option options
daughter;daughter daughters
perfume;perfumed perfume perfumes perfuming
dynasty;dynasties dynasty
suppose;suppose supposing supposed supposes
